product_name,price,rating,promo,sold,seller,location,link_image
LAPTOP GAMING CORE I7 VGA NVDIA NVDIA GEFORCE 4GB SSD 256GB RAM 16GB,Rp4.050.000,5.0,-,1 terjual,nabil comp,Kab. Jepara,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/8/10/0a6b7c14-9cd0-423a-bc78-0133ec462386.jpg
"Laptop Gaming Asus TUFF FX504G, Intel Core i7-8750H, Ram 8/1Tb + 128Gb",Rp7.950.000,4.5,-,3 terjual,dr.com komputer,Jakarta Barat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/8/899c9b3b-18a4-44b5-be0c-bd8520c9406f.jpg
laptop lenovo thinkpad P52 P52s Core i7 Gen8 | Gaming Render| 32GB ,Rp6.300.000,5.0,-,8 terjual,Hosea Jogja,Jakarta Pusat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/23/9c3da7cf-7604-44e7-b0d7-fb3362040520.jpg
Laptop Gaming Digital Storm Avon Core i7-9750H 32GB 1TB RTX2070 8GB VR MINUS,Rp2.575.000Rp25.750.000,no rating,-,-,Otus Solutions,Jakarta Pusat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/5/7/13dc70d2-973e-4e2f-afbd-c534462d012d.jpg
"Laptop Asus TUF Gaming FX503VD, Intel Core i7-7700HQ, 12Gb/1Tb+256Gb",Rp7.650.000,5.0,-,3 terjual,dr.com komputer,Jakarta Barat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/30/3bcf53d8-ac2c-4f59-b196-8148ada9994d.jpg
"Laptop Asus Gaming Vivobok A442UR, Core i7-7500U, #Double Vga",Rp4.500.000,5.0,-,1 terjual,dr.com komputer,Jakarta Barat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/3/3/a87041e5-f15e-46e9-a152-64729b53f39a.jpg
"Laptop Asus Gaming X550VXK, Core i7 - 7700HQ, #DuapVga, BLACK",Rp4.900.000,no rating,-,-,dr.com komputer,Jakarta Barat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/27/0a3829a3-ccca-498e-a535-8fbad631d46e.jpg
MSI THIN 15 B13UC 2407ID RTX3050 Intel Core i7-13620H 512GB SSD 8GB RAM Notebook Laptop Gaming,Rp12.899.000,no rating,-,-,Galaxy Solusindo,Malang,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/8/23/c7877acb-b1e7-4b1f-bf54-194b4671d80b.jpg
"Laptop Gaming Hp Omen 16 Intel Core i7 13700HX 32GB DDR5 2TB SSD RTX4060 8GB FHD IPS 165Hz Windows 11 Home Black - 16GB DDR5, 1TB SSD",Rp19.899.000,no rating,Diskon 14rb,-,Legacy Laptop ID,Depok,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/9/11/d21dec03-ab25-43f5-8ff0-e9eed0c43818.jpg
MSI THIN 15 B12VE 2292ID RTX4050 Intel Core i7-12650H 512GB SSD 8GB RAM Notebook Laptop Gaming,Rp13.359.000,no rating,-,-,Galaxy Solusindo,Malang,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/8/1/8b727cb9-331d-4581-a139-25ba547bd351.jpg
LAPTOP GAMING BARU AXIOO PONGO 725 RTX2050 CORE I7 12650H RAM 32GB 1TB 15.6 144HZ,Rp10.699.000,no rating,Diskon 14rb,-,Laptop Legends ID,Depok,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/9/3/c63e8df0-dac4-4a45-b398-d60f8e835769.jpg
ASUS TUF F16 GAMING FX607JU-I745J1M-O RTX4050 Intel Core I7-13650HX 512GB SSD 16GB RAM Notebook Laptop Gaming,Rp20.696.000,no rating,-,-,Galaxy Solusindo,Malang,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/16/e256c076-7c1c-41ac-8030-7f42a17811ee.jpg
LAPTOP GAMING TC ! LENOVO THINKPAD T480 CORE i7 GEN 8 32GB/1TB SSD M.2,Rp3.050.000,5.0,-,5 terjual,RedStar Electronic,Jakarta Barat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/23/681c2992-e843-40e5-a2f4-4f46ff2ee9e3.jpg
Laptop Gaming MSI GP60 Core i7 RAM 8/128 GB SSD + 256GB HDD,Rp3.200.000,no rating,-,-,Laptop Kampar,Kab. Kampar,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/4/1bbb8057-4e1c-46e1-960c-364c2bd255e4.jpg
Laptop Gaming Lenovo Thinkpad W530 Core i7-3740MQ doble vga ,Rp2.600.000,5.0,-,1 terjual,Singa Komputer,Bandung,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/13/b962feff-156e-4970-b65f-8ddc2100619e.png
Laptop Gaming Editing Asus Vivobook X430FN Intel Core i7 Ram 8/512gb,Rp7.500.000,5.0,-,1 terjual,R-07Store,Bandung,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/11/2051e6aa-a749-4b92-a3af-21a05ec9ace8.jpg
